KP_source,relation,KP_target,KP_source_id,KP_target_id
Algebraic Solving (代数求解),requires,Algebraic Simplification (代数式化简),1,70
Unit Rate (单位速率),requires,Conversion of Fraction Decimals Percents (分数/小数/百分数互化),2,31
Number Line (数轴),requires,Histogram as Table or Graph (直方图表与统计图),4,3
Stem and Leaf Plot (茎叶图),requires,Histogram as Table or Graph (直方图表与统计图),6,3
Table (统计表),requires,Mean (平均数),7,9
Area of a Triangle (三角形面积),requires,Angles - Interior (内角),8,5
Mean (平均数),requires,Histograms (直方图),9,82
Area of a Circle (圆面积),requires,Area of a Triangle (三角形面积),10,8
Box and Whisker Plot (箱线图),requires,Mean (平均数),11,9
Fractions Multiplication (分数乘法),requires,Fractions Addition (分数加减),13,12
Fractions Division (分数除法),requires,Fractions Multiplication (分数乘法),14,13
Ordering Fractions (分数排序),requires,Fractions Division (分数除法),15,14
Least Common Multiple (最小公倍数),requires,Fractions Addition (分数加减),16,12
Interior Angles Triangle (三角形内角),requires,Pythagorean Theorem (勾股定理/皮氏定理),17,21
Fractions Greater than One (假分数),requires,Fractions Division (分数除法),18,14
Complementary and Supplementary Angles (余角与补角),requires,Pythagorean Theorem (勾股定理/皮氏定理),19,21
Angles on Parallel Lines Cut by a Transversal (平行线截角性质),requires,Pythagorean Theorem (勾股定理/皮氏定理),20,21
Pythagorean Theorem (勾股定理/皮氏定理),requires,Volume of a Rectangular Prism (长方体体积),21,35
Unit Conversion Within a System (同系单位换算),requires,Nets of 3D Figures (几何体展开图),23,22
Multiplication and Division (乘除基础),requires,Multiplication Whole Numbers (整数乘法),24,44
Skill 25 (技能25-待定),requires,Nets of 3D Figures (几何体展开图),25,22
Area Circle (圆面积),requires,Pythagorean Theorem (勾股定理/皮氏定理),26,21
Perimeter (多边形周长),requires,Surface Area of a Cylinder (圆柱表面积),27,32
Pythagorean Theorem (勾股定理),requires,Pythagorean Theorem (勾股定理/皮氏定理),28,21
Reading a Ruler or Scale (刻度尺读数),requires,Nets of 3D Figures (几何体展开图),29,22
Calculations with Similar Figures (相似图形计算),requires,Pythagorean Theorem (勾股定理/皮氏定理),30,21
Conversion of Fraction Decimals Percents (分数/小数/百分数互化),requires,Proportion (比例),31,50
Surface Area of a Cylinder (圆柱表面积),requires,Area of a Triangle (三角形面积),32,8
Surface Area (表面积基础),requires,Surface Area of a Cylinder (圆柱表面积),33,32
Ordering Fractions (分数排序),requires,Conversion of Fraction Decimals Percents (分数/小数/百分数互化),34,31
Volume of a Rectangular Prism (长方体体积),requires,Surface Area of a Cylinder (圆柱表面积),35,32
Ordering Real Numbers (实数排序),requires,Nets of 3D Figures (几何体展开图),36,22
Volume of a Triangular Prism (三棱柱体积),requires,Volume of a Rectangular Prism (长方体体积),37,35
Division Fractions (分数除法),requires,Conversion of Fraction Decimals Percents (分数/小数/百分数互化),39,31
Estimation (估算),requires,Addition Whole Numbers (整数加法),40,38
Fraction Of (求一个数的几分之几),requires,Proportion (比例),41,50
Least Common Multiple (最小公倍数),requires,Proportion (比例),42,50
Multiplication Fractions (分数乘法),requires,Proportion (比例),43,50
Multiplication Whole Numbers (整数乘法),requires,Subtraction Whole Numbers (整数减法),44,46
Linear Equations (线性方程),requires,Algebraic Simplification (代数式化简),45,70
Subtraction Whole Numbers (整数减法),requires,Addition Whole Numbers (整数加法),46,38
Square Root (平方根),requires,Nets of 3D Figures (几何体展开图),47,22
Inequalities (不等式),requires,Linear Equations (线性方程),48,45
Finding Percents (百分比计算),requires,Proportion (比例),49,50
Proportion (比例),requires,Fractions Division (分数除法),50,14
Scientific Notation (科学计数法),requires,Inequalities (不等式),51,48
Unit Rate (单位速率),requires,Proportion (比例),52,50
Square Root (平方根),requires,Nets of 3D Figures (几何体展开图),53,22
Divisibility Rules (整除规则),requires,Subtraction Whole Numbers (整数减法),54,46
Prime Number (质数/素数),requires,Subtraction Whole Numbers (整数减法),55,46
Absolute Value (绝对值),requires,Nets of 3D Figures (几何体展开图),56,22
Exponents (指数/幂),requires,Algebraic Simplification (代数式化简),57,70
Order of Operations (运算法则),requires,Multiplication and Division (乘除基础),58,24
Pattern Finding (找规律),requires,Nets of 3D Figures (几何体展开图),59,22
Proportions (比例),requires,Proportion (比例),60,50
Skill 61 (技能61-待定),requires,Nets of 3D Figures (几何体展开图),61,22
Skill 62 (技能62-待定),requires,Nets of 3D Figures (几何体展开图),62,22
Skill 63 (技能63-待定),requires,Nets of 3D Figures (几何体展开图),63,22
Percents (百分数),requires,Proportion (比例),64,50
Probability (概率基础),requires,Median (中位数),65,115
Skill 66 (技能66-待定),requires,Nets of 3D Figures (几何体展开图),66,22
Skill 67 (技能67-待定),requires,Nets of 3D Figures (几何体展开图),67,22
Understanding concept of probabilities (理解概率概念),requires,Nets of 3D Figures (几何体展开图),68,22
Absolute Value (绝对值),requires,Nets of 3D Figures (几何体展开图),69,22
Algebraic Solving (代数求解),requires,Algebraic Simplification (代数式化简),71,70
Absolute Value (绝对值),requires,Nets of 3D Figures (几何体展开图),72,22
Intercept (截距),requires,Slope (斜率),73,78
Linear Equations (线性方程),requires,Algebraic Simplification (代数式化简),74,70
Percent Discount (折扣计算),requires,Proportion (比例),75,50
Percents (百分数),requires,Proportion (比例),76,50
Rate (率/速率),requires,Proportion (比例),77,50
Slope (斜率),requires,Inequalities (不等式),78,48
Multiplication and Division Positive Decimals (正小数乘除法),requires,Subtraction Whole Numbers (整数减法),79,46
Scatter Plot (散点图),requires,Probability (概率基础),80,65
Addition and Subtraction Positive Decimals (正小数加减法),requires,Subtraction Whole Numbers (整数减法),81,46
